mois,dep,estim_rsa,rsa
2017-02-01,972,0,36100
2017-02-01,973,0,22380
2017-02-01,974,0,94760
2017-02-01,976,0,6380
2017-03-01,01,0,7630
2017-03-01,02,0,17620
2017-03-01,03,0,9530
2017-03-01,04,0,4330
2017-03-01,05,0,2860
2017-03-01,06,0,25160
2017-03-01,07,0,6610
2017-03-01,08,0,10810
2017-03-01,09,0,6030
2017-03-01,10,0,9730
2017-03-01,11,0,16950
2017-03-01,12,0,4050
2017-03-01,13,0,78760
2017-03-01,14,0,15280
2017-03-01,15,0,2180
2017-03-01,16,0,10260
2017-03-01,17,0,16400
2017-03-01,18,0,9530
2017-03-01,19,0,3360
2017-03-01,2A,0,2580
2017-03-01,2B,0,3920
2017-03-01,21,0,9310
2017-03-01,22,0,10570
2017-03-01,23,0,2760
2017-03-01,24,0,10540
2017-03-01,25,0,12240
2017-03-01,26,0,12170
2017-03-01,27,0,13340
2017-03-01,28,0,8320
2017-03-01,29,0,17540
2017-03-01,30,0,30930
2017-03-01,31,0,36850
2017-03-01,32,0,3920
2017-03-01,33,0,41800
2017-03-01,34,0,41060
2017-03-01,35,0,17080
2017-03-01,36,0,4920
2017-03-01,37,0,13670
2017-03-01,38,0,24530
2017-03-01,39,0,3730
2017-03-01,40,0,7820
2017-03-01,41,0,7210
2017-03-01,42,0,16850
2017-03-01,43,0,3230
2017-03-01,44,0,29150
2017-03-01,45,0,14840
2017-03-01,46,0,3640
2017-03-01,47,0,9620
2017-03-01,48,0,1230
2017-03-01,49,0,15930
2017-03-01,50,0,7910
2017-03-01,51,0,14030
2017-03-01,52,0,4360
2017-03-01,53,0,3770
2017-03-01,54,0,22580
2017-03-01,55,0,5180
2017-03-01,56,0,13880
2017-03-01,57,0,27760
2017-03-01,58,0,5740
2017-03-01,59,0,112480
2017-03-01,60,0,19430
2017-03-01,61,0,7150
2017-03-01,62,0,56650
2017-03-01,63,0,15450
2017-03-01,64,0,14750
2017-03-01,65,0,5490
2017-03-01,66,0,21830
2017-03-01,67,0,27450
2017-03-01,68,0,16450
2017-03-01,69,0,45560
2017-03-01,70,0,4600
2017-03-01,71,0,10340
2017-03-01,72,0,11460
2017-03-01,73,0,5530
2017-03-01,74,0,8200
2017-03-01,75,0,63870
2017-03-01,76,0,40970
2017-03-01,77,0,29030
2017-03-01,78,0,22000
2017-03-01,79,0,6950
2017-03-01,80,0,18470
2017-03-01,81,0,10550
2017-03-01,82,0,6660
2017-03-01,83,0,31780
2017-03-01,84,0,17040
2017-03-01,85,0,7900
2017-03-01,86,0,11990
2017-03-01,87,0,9530
2017-03-01,88,0,10880
2017-03-01,89,0,9190
2017-03-01,90,0,4420
2017-03-01,91,0,25940
2017-03-01,92,0,30390
2017-03-01,93,0,82680
2017-03-01,94,0,40420
2017-03-01,95,0,32490
2017-03-01,971,0,44630
2017-03-01,972,0,36020
2017-03-01,973,0,22230
2017-03-01,974,0,94710
2017-03-01,976,0,6330
2017-04-01,01,0,7630
2017-04-01,02,0,17650
2017-04-01,03,0,9590
2017-04-01,04,0,4360
2017-04-01,05,0,2900
2017-04-01,06,0,25080
2017-04-01,07,0,6590
2017-04-01,08,0,10800
2017-04-01,09,0,6070
2017-04-01,10,0,9750
2017-04-01,11,0,16960
2017-04-01,12,0,4060
2017-04-01,13,0,78710
2017-04-01,14,0,15190
2017-04-01,15,0,2200
2017-04-01,16,0,10340
2017-04-01,17,0,16410
2017-04-01,18,0,9510
2017-04-01,19,0,3370
2017-04-01,2A,0,2540
2017-04-01,2B,0,3940
2017-04-01,21,0,9320
2017-04-01,22,0,10640
2017-04-01,23,0,2740
2017-04-01,24,0,10570
2017-04-01,25,0,12200
2017-04-01,26,0,12200
2017-04-01,27,0,13370
2017-04-01,28,0,8330
2017-04-01,29,0,17490
2017-04-01,30,0,30950
2017-04-01,31,0,36740
2017-04-01,32,0,3920
2017-04-01,33,0,41830
2017-04-01,34,0,40940
2017-04-01,35,0,17100
2017-04-01,36,0,4990
2017-04-01,37,0,13730
2017-04-01,38,0,24460
2017-04-01,39,0,3740
2017-04-01,40,0,7890
2017-04-01,41,0,7220
2017-04-01,42,0,16850
2017-04-01,43,0,3230
2017-04-01,44,0,29130
2017-04-01,45,0,14890
2017-04-01,46,0,3660
2017-04-01,47,0,9630
2017-04-01,48,0,1230
2017-04-01,49,0,15930
2017-04-01,50,0,7930
2017-04-01,51,0,14010
2017-04-01,52,0,4360
2017-04-01,53,0,3750
2017-04-01,54,0,22620
2017-04-01,55,0,5180
2017-04-01,56,0,13840
2017-04-01,57,0,27840
2017-04-01,58,0,5760
2017-04-01,59,0,112470
2017-04-01,60,0,19390
2017-04-01,61,0,7220
2017-04-01,62,0,56720
2017-04-01,63,0,15530
2017-04-01,64,0,14790
2017-04-01,65,0,5540
2017-04-01,66,0,21860
2017-04-01,67,0,27480
2017-04-01,68,0,16430
2017-04-01,69,0,45630
2017-04-01,70,0,4620
2017-04-01,71,0,10390
2017-04-01,72,0,11400
2017-04-01,73,0,5540
2017-04-01,74,0,8160
2017-04-01,75,0,63610
2017-04-01,76,0,41150
2017-04-01,77,0,28920
2017-04-01,78,0,21930
2017-04-01,79,0,6920
2017-04-01,80,0,18520
2017-04-01,81,0,10540
2017-04-01,82,0,6670
2017-04-01,83,0,31720
2017-04-01,84,0,17010
2017-04-01,85,0,7940
2017-04-01,86,0,12040
2017-04-01,87,0,9550
2017-04-01,88,0,10960
2017-04-01,89,0,9200
2017-04-01,90,0,4430
2017-04-01,91,0,25880
2017-04-01,92,0,30430
2017-04-01,93,0,82700
2017-04-01,94,0,40360
2017-04-01,95,0,32530
2017-04-01,971,0,44550
2017-04-01,972,0,35880
2017-04-01,973,0,22080
2017-04-01,974,0,94770
2017-04-01,976,0,6210
2017-05-01,01,0,7590
2017-05-01,02,0,17620
2017-05-01,03,0,9570
2017-05-01,04,0,4350
2017-05-01,05,0,2910
2017-05-01,06,0,24920
2017-05-01,07,0,6560
2017-05-01,08,0,10770
2017-05-01,09,0,6090
2017-05-01,10,0,9750
2017-05-01,11,0,16950
2017-05-01,12,0,4080
2017-05-01,13,0,78630
2017-05-01,14,0,15090
2017-05-01,15,0,2190
2017-05-01,16,0,10330
2017-05-01,17,0,16360
2017-05-01,18,0,9490
2017-05-01,19,0,3370
2017-05-01,2A,0,2530
2017-05-01,2B,0,3930
2017-05-01,21,0,9390
2017-05-01,22,0,10690
2017-05-01,23,0,2750
2017-05-01,24,0,10570
2017-05-01,25,0,12220
2017-05-01,26,0,12230
2017-05-01,27,0,13270
2017-05-01,28,0,8310
2017-05-01,29,0,17460
2017-05-01,30,0,30870
2017-05-01,31,0,36690
2017-05-01,32,0,3910
2017-05-01,33,0,41680
2017-05-01,34,0,40690
2017-05-01,35,0,17120
2017-05-01,36,0,4960
2017-05-01,37,0,13750
2017-05-01,38,0,24480
2017-05-01,39,0,3760
2017-05-01,40,0,7860
2017-05-01,41,0,7200
2017-05-01,42,0,16880
2017-05-01,43,0,3240
2017-05-01,44,0,29120
2017-05-01,45,0,15010
2017-05-01,46,0,3700
2017-05-01,47,0,9680
2017-05-01,48,0,1220
2017-05-01,49,0,15930
2017-05-01,50,0,7880
2017-05-01,51,0,14030
2017-05-01,52,0,4380
2017-05-01,53,0,3750
2017-05-01,54,0,22650
2017-05-01,55,0,5170
2017-05-01,56,0,13870
2017-05-01,57,0,27900
2017-05-01,58,0,5780
2017-05-01,59,0,112670
2017-05-01,60,0,19460
2017-05-01,61,0,7230
2017-05-01,62,0,56880
2017-05-01,63,0,15550
2017-05-01,64,0,14800
2017-05-01,65,0,5540
2017-05-01,66,0,21960
2017-05-01,67,0,27480
2017-05-01,68,0,16360
2017-05-01,69,0,45800
2017-05-01,70,0,4650
2017-05-01,71,0,10340
2017-05-01,72,0,11420
2017-05-01,73,0,5550
2017-05-01,74,0,8120
2017-05-01,75,0,63860
2017-05-01,76,0,41260
2017-05-01,77,0,28910
2017-05-01,78,0,21940
2017-05-01,79,0,6900
2017-05-01,80,0,18540
2017-05-01,81,0,10540
2017-05-01,82,0,6660
2017-05-01,83,0,31590
2017-05-01,84,0,16970
2017-05-01,85,0,7890
2017-05-01,86,0,12080
2017-05-01,87,0,9550
2017-05-01,88,0,10970
2017-05-01,89,0,9150
2017-05-01,90,0,4400
2017-05-01,91,0,25970
2017-05-01,92,0,30480
2017-05-01,93,0,82800
2017-05-01,94,0,40500
2017-05-01,95,0,32590
2017-05-01,971,0,44720
2017-05-01,972,0,35850
2017-05-01,973,0,22310
2017-05-01,974,0,94690
2017-05-01,976,0,6190
2017-06-01,01,0,7600
2017-06-01,02,0,17500
2017-06-01,03,0,9580
2017-06-01,04,0,4330
2017-06-01,05,0,2890
2017-06-01,06,0,24720
2017-06-01,07,0,6560
2017-06-01,08,0,10670
2017-06-01,09,0,6050
2017-06-01,10,0,9700
2017-06-01,11,0,16890
2017-06-01,12,0,4080
2017-06-01,13,0,78440
2017-06-01,14,0,15000
2017-06-01,15,0,2140
2017-06-01,16,0,10370
2017-06-01,17,0,16270
2017-06-01,18,0,9490
2017-06-01,19,0,3340
